,Bloque,Congruencia,Tiempo,Grupo
0,Repeat,congruent,,1
1,Repeat,congruent,1987.0,1
2,Repeat,congruent,,1
3,Repeat,congruent,,1
4,Repeat,incongruent,,1
5,Repeat,incongruent,909.2222222222222,1
6,Repeat,incongruent,2015.6666666666667,1
7,Repeat,incongruent,822.6666666666666,1
8,Switch,congruent,,1
9,Switch,congruent,1482.5,1
10,Switch,congruent,1917.0,1
11,Switch,congruent,,1
12,Switch,incongruent,,1
13,Switch,incongruent,1522.6666666666667,1
14,Switch,incongruent,,1
15,Switch,incongruent,1145.5,1
16,Both,congruent,,1
17,Both,congruent,1570.5,1
18,Both,congruent,531.0,1
19,Both,congruent,438.0,1
20,Both,incongruent,,1
21,Both,incongruent,1461.4,1
22,Both,incongruent,,1
23,Both,incongruent,535.0,1
0,Repeat,congruent,1062.0,2
1,Repeat,congruent,,2
2,Repeat,congruent,719.0,2
3,Repeat,congruent,1917.0,2
4,Repeat,congruent,1050.3333333333333,2
5,Repeat,incongruent,980.6666666666666,2
6,Repeat,incongruent,1150.3333333333333,2
7,Repeat,incongruent,951.2666666666667,2
8,Repeat,incongruent,1247.6666666666667,2
9,Repeat,incongruent,965.7894736842105,2
10,Switch,congruent,,2
11,Switch,congruent,1664.5,2
12,Switch,congruent,781.0,2
13,Switch,congruent,,2
14,Switch,congruent,1896.0,2
15,Switch,incongruent,789.5,2
16,Switch,incongruent,927.6666666666666,2
17,Switch,incongruent,839.0,2
18,Switch,incongruent,867.25,2
19,Switch,incongruent,1012.25,2
20,Both,congruent,605.0,2
21,Both,congruent,,2
22,Both,congruent,1601.0,2
23,Both,congruent,1701.0,2
24,Both,congruent,1462.3333333333333,2
25,Both,incongruent,1225.5,2
26,Both,incongruent,2891.0,2
27,Both,incongruent,1288.7142857142858,2
28,Both,incongruent,1209.9,2
29,Both,incongruent,987.0,2
