Sujetos,Grupo,Tiempo de Cuidado,M_R_Congruent,M_R_Incongruent,M_S_Congruent,M_S_Incongruent,Pure_Congruent,Pure_Incongruent
4,2,6.4,918.8372093,1001.340909,1396.933333,1139.571429,608.9655172,639.5344828
5,2,7.8,1285.06383,1243.604651,1462.166667,1535.857143,601.7192982,666.5084746
6,2,5,915.0444444,880.7179487,644.5,1196,907.2372881,704.1403509
7,2,6.7,1136.883721,986.5116279,1174.571429,1296.125,836.779661,909.8596491
9,2,5.5,1099.533333,1572.413043,1096.153846,1190.5,776.1578947,605.5423729
