Sujetos,congruent,incongruent
1,1184.0,1130.6666666666667
2,1507.8,1208.1666666666667
3,1901.0833333333333,1632.7272727272727
4,1396.9333333333334,1197.9166666666667
5,1421.7,1701.7272727272727
6,634.0,891.0
7,1174.5714285714287,1439.0833333333333
8,1007.2,1019.6666666666666
9,759.4545454545455,729.3333333333334
